docId,voteid,final,competitionId
4139b45a38e346cc18c462283bc91771,46498,80,294
d2da4bd6f63c332225c24c58a479aa47,46299,82,294
bd572922bfc63252f595869e3baf70d3,46598,84,294
c5921f5f457da73c6f137d92007c047b,46617,89,294
e4c5ec265d4b11c06d193cc03e85eccb,46632,90,294
15e9cc8511c4776adc7e0923f41086cd,46778,96,294
c3b2e25ae98f381bd78aee9eeaac54c1,46800,97,294
1e5ffdb7a619643c415fc325d4d9c4f5,46318,98,294
2cc2825202c48d476ba8bd814801b810,46409,99,294
187931bb06f87eef2870b1eb6a785cb5,45355,314,290
0c79a2de900ce4d5713a4bf42af9cdb8,44700,315,290
3e25cecb27b03b4b932c93f5582860d8,44765,322,290
2f94e5525171df6cb53b81c83678ee17,44771,323,290
3b8c4b80c812416fc71a5ea387894feb,44704,329,290
68ae4573461e18faf95fbf840d67a1c0,45271,332,290
6aa6462d2d6d751fc370ef6d3888df21,44713,333,290
a6755395b97bf283256cbef59a6b5e35,45255,335,290
45351aa121df9cbda3ed28930f8e21f7,45447,338,290
40dab801c32782d575493c07402d03de,44520,353,290
b3d5fb9a1c8201aa5de37f20e8c5f261,44525,356,290
7ab4945688dc2a557bcf43e035c7bce0,44564,359,290
ed2e6716c4d25646015f8135cd60d836,44588,360,290
72266346f9954ff3e5e9b2fb00bd411d,45391,379,290
ed3dc7824877e0ec7f09332b4ff7643a,44949,385,290
199e5dd110b1b9f0ae3d5d8710d5aaf0,44958,386,290
c65c3a3d0c9ed27210443f6c37fc789c,44977,389,290
d3ad8ffe0ba0a638f2ed3ee7cb7a5be1,45132,402,290
e3706b19ba60f7f6b4c1f480fa7b649d,45054,409,290
78de57a13b780d5d6480b30b325665f4,45032,425,290
3345c544a4e833166e9b87b24f71f0e2,45193,430,290
7a4a034c4462451c3ec8ea02753b90be,44835,434,290
0e4b786ef4f4628b9eebafe3b04bdebd,45180,439,290
f2feba70fb4ee78f4791270f350d12dd,45208,444,290
a47b513eccd17155f4c933cbf27f94a5,44889,451,290
aab5a3222027a35d0cc36178d4aa9872,44867,465,290
73f8b84fc25e8af3a84d1220022e6eaf,57760,1,346
34e2583e633707ac41f4c3f852b7ea9e,57207,2,346
7be8d2ec2bcb982d19e3f19b049a8613,57495,3,346
fe0dc88defb60896b8c8b5bcee8d5b0f,57698,4,346
55091472a018b56f539e5e5b1e67640c,57541,5,346
445516a01a4c33c0d2cc3ba0ef25500f,57773,6,346
8dbaa81748980197fc320c6b33b07978,57430,7,346
57bbb4e2e0e765f17d4dcabdbc1bb6c1,57359,9,346
1354ef46e81ee50b3dda04655963fb75,57416,14,346
28b8647bf36ed15103db978d39a12c0b,57777,16,346
a24a90fa07fea0db91dc9c27f216dfb6,57419,20,346
3ed228587748b7565d640332e8d496a5,57676,21,346
34eb625f8df49df7c23ba66a563746c8,57565,23,346
3b6a95044abb0f07e84102ed9616507b,57420,25,346
ffed68a33d079c75f8c71fafd3c12ee3,57280,26,346
58a346c993aa48dcc7163fecf817a4a5,57825,27,346
a1def9d67dd5cb2539317d8db76de4d7,57547,30,346
3695048be65f8d964702ac431eee2e78,57363,32,346
39a2255f778bb6706c6fd6896a051184,57401,34,346
b2113970a61f8317082e4f5bf45d21ea,57329,35,346
e4cd7e092223c15ec89e4feacd8f5b9f,57651,37,346
5b3165966671f8852501007a80e28249,57161,42,346
f1c6200790feadb34d18bdd782fad182,57426,43,346
9d2584c59b57249e3c643942aa930fa6,57594,45,346
66612651b71555f5d2b2a31cd0b43067,57464,46,346
bbcbafcee29d793d8149befe588b356a,57284,47,346
828c0c4bde720f563375814933d85700,57451,48,346
d0d316ff8e45fe32d6133e9d74a62bc1,57278,49,346
af9ffa3402bb63d0eaa965276246ede6,57868,50,346
99ce6c0437b9dde03d2cd7052f4c7ee3,57487,53,346
057e72db850e04a652d5e483aac17aa3,57311,54,346
fd39ab96121400c562790f831b4b5ee1,57168,56,346
fa4bcbcdfcfa93c28c686f94264a5bfa,57623,60,346
a773b8d26f79f53b18101c94ff58d702,57859,61,346
06c0350164693bb72bbc570284f56668,57360,62,346
78b28329b13ac8a5a5fd5019aa12d011,57316,63,346
d55aa97f3bd6f5a71b00433d0c689b9e,57146,64,346
8ec58b4177e1dfcf8709f41ffd835020,57681,65,346
0c1826d1196168b05dcc3bdbc310d091,57472,66,346
913b0b74098f1bb5e090775810979dfe,57820,67,346
494d20cbaf20f916d77ffae9c52675b5,57149,69,346
4524ed6460cd300f7df34b0e6634332f,57947,71,346
